unit_id,unit_name,date,customers,arr,mrr,churn_rate_pct,nrr_pct,pipeline,win_rate_pct,avg_deal_size,dso_days,cac,ltv,ltv_cac_ratio,employee_satisfaction
1,SaaS Platform,2024-01-01,442,37965994.76491427,3163832.897076189,1.59,120.5,,,,35.4,13300.38,66222.95,4.98,7.5
1,SaaS Platform,2024-02-01,175,24685796.690077435,2057149.7241731195,2.49,122.5,,,,53.1,12757.41,52950.8,4.15,8.7
1,SaaS Platform,2024-03-01,262,29779388.403754365,2481615.7003128636,2.24,120.2,,,,49.4,11591.82,83364.69,7.19,8.4
1,SaaS Platform,2024-04-01,471,53992642.67874362,4499386.889895302,1.62,116.6,,,,46.6,12323.6,42524.63,3.45,7.9
1,SaaS Platform,2024-05-01,362,24458170.550083898,2038180.879173658,1.26,118.1,,,,54.4,10308.52,78009.08,7.57,8.7
1,SaaS Platform,2024-06-01,281,39734775.59442657,3311231.299535548,2.89,124.5,,,,40.9,13703.97,96217.8,7.02,8.2
1,SaaS Platform,2024-07-01,188,12046231.882110596,1003852.6568425497,2.93,122.9,,,,49.5,14799.42,115973.44,7.84,8.7
1,SaaS Platform,2024-08-01,337,19893206.906661257,1657767.2422217715,1.79,114.0,,,,37.5,8685.86,58586.61,6.75,7.9
1,SaaS Platform,2024-09-01,345,45623396.89232371,3801949.7410269757,2.88,111.6,,,,39.7,5250.25,38962.99,7.42,8.3
1,SaaS Platform,2024-10-01,462,33327164.643418342,2777263.720284862,1.13,122.4,,,,53.2,8021.9,40442.25,5.04,7.7
1,SaaS Platform,2024-11-01,169,13593761.475616489,1132813.4563013741,1.99,111.5,,,,52.7,6356.64,33488.17,5.27,8.5
1,SaaS Platform,2024-12-01,426,39154799.6954672,3262899.9746222664,2.48,112.3,,,,43.3,5990.22,32627.12,5.45,8.1
2,Enterprise Sales,2024-01-01,85,,,,,20654325.737100936,28.7,108253.73145455262,54.0,13554.5,47397.02,3.5,7.0
2,Enterprise Sales,2024-02-01,119,,,,,38033924.24849309,31.4,79541.25668749565,40.5,14682.07,113713.41,7.75,7.2
2,Enterprise Sales,2024-03-01,61,,,,,33255374.76123956,31.4,119785.94696396588,35.4,12867.95,54274.99,4.22,6.2
2,Enterprise Sales,2024-04-01,122,,,,,24104111.50285753,33.3,116565.58413458467,46.7,13130.53,54688.57,4.16,7.2
2,Enterprise Sales,2024-05-01,150,,,,,38010620.71263516,25.0,139380.45947851322,37.9,6299.92,26795.27,4.25,6.3
2,Enterprise Sales,2024-06-01,134,,,,,37328957.77013602,26.3,101868.17094123997,50.8,10888.53,33524.75,3.08,6.4
